id;firstname;lastname;country;age;first_serve_percentage;service_points_won;break_points_saved;second_serve_return_points_won;break_points_converted;score
1;Massachusetts Borders Bacon;engage;Gibraltar;87147;79254;46435;41149;52798;22457;80150
2;Clothing Avon RSS;cross-media scalable;Sao Tome and Principe;5097;23374;17390;58648;15029;73287;56727
3;Loan;generation;Portugal;82428;65861;88525;79777;35771;86936;81245
4;support;Coordinator;Grenada;54058;59242;30484;59377;92917;7990;7897
5;Security;input generation;Papua New Guinea;86512;13546;62876;36274;14887;91721;71591
6;Garden copying solid;navigating out-of-the-box View;Uganda;67194;19480;40767;9543;39486;74610;4517
7;parse port;backing;Macedonia;22701;45336;39962;94197;66821;50381;20411
8;Djibouti override;virtual;Colombia;27504;97561;12102;80136;48601;64214;55523
9;Cotton;Cayman Ergonomic Agent;Isle of Man;69871;75775;67506;90257;31903;22285;362
10;neural Cliff Texas;auxiliary;Dominican Republic;76931;57182;12648;63026;4477;89852;68300
